cultivar_id,cultivar_name,base_plant_id,variant_id,norsk_navn,engelsk_navn,heat_tolerant,cool_tolerant,drought_sensitive,crack_sensitive,humidity_sensitive,notes
tomato_sungold,Sungold,tomato,tomato_cherry,Sungold cherrytomat,Sungold cherry tomato,True,False,True,True,True,"Søt oransje cherrytomat; liker høy varme og jevn fukt, svært sprekk-sensitiv."
tomato_shirley,Shirley,tomato,tomato_standard,Shirley tomat,Shirley tomato,True,True,True,True,True,"Klassisk drivhustomat; forholdsvis robust for norske forhold."
tomato_roma,Roma,tomato,tomato_plum,Roma plommetomat,Roma plum tomato,True,False,True,True,True,"Plommetomat for saus; trenger jevn fukt for å unngå sprekking."
tomato_sanmarzano,San Marzano,tomato,tomato_plum,San Marzano,San Marzano tomato,True,False,True,True,True,"Italiensk saus-tomat; liker varme og god drenering, jevn vanning."
pepper_california_wonder,California Wonder,pepper,pepper_sweet,California Wonder paprika,California Wonder bell pepper,True,False,True,True,True,"Klassisk blokkpaprika for drivhus; trenger varm jord og jevn fukt."
pepper_jalapeno,Jalapeño,chili,pepper_hot,Jalapeño chili,Jalapeño pepper,True,False,True,False,True,"Kompakt sterk chili; trives varmt og lyst, tåler litt tørrere jord."
pepper_habanero,Habanero,chili,pepper_hot,Habanero chili,Habanero pepper,True,False,True,False,True,"Varmekrevende chili; krever mye lys og jevn temperatur."
cucumber_marketmore,Marketmore,cucumber,cucumber_slicing,Marketmore salatagurk,Marketmore cucumber,True,False,True,False,True,"Robust salatagurk; egnet til hobbydrivhus."
cucumber_socrates,Socrates,cucumber,cucumber_snack,Socrates snackagurk,Socrates mini cucumber,True,False,True,False,True,"Miniagurk som gir jevn avling i varmt drivhus."
lettuce_little_gem,Little Gem,lettuce,lettuce_romaine,Little Gem romansalat,Little Gem lettuce,True,True,True,False,True,"Liten, kompakt romansalat; egnet til potter og kasser."
lettuce_lollo_rossa,Lollo Rossa,lettuce,lettuce_leaf,Lollo Rossa plukksalat,Lollo Rossa leaf lettuce,True,True,True,False,True,"Krusete rød plukksalat; tåler en del varme, men går i stokk ved langvarig tørke."
basil_genovese_cult,Genovese,basil,basil_genovese,Genovese basilikum,Genovese basil,True,False,True,False,True,"Standard storbladet basilikum for potter og drivhus."
basil_dark_opal,Dark Opal,basil,basil_genovese,Dark Opal basilikum,Dark Opal basil,True,False,True,False,True,"Mørk dekorativ basilikum med samme klimakrav som Genovese."
mint_moroccan,Moroccan,mint,mint_strong,Marokkansk mynte,Moroccan mint,True,True,True,False,True,"Sterk mynte til te; liker fuktig jord og mye lys."
strawberry_elsanta,Elsanta,strawberry,strawberry_june,Elsanta jordbær,Elsanta strawberry,False,True,True,False,True,"Vanlig tidlig sort; ganske fast frukt, følsom for gråmugg ved høy fukt."
strawberry_malling_opal,Malling Opal,strawberry,strawberry_everbearing,Malling Opal jordbær,Malling Opal strawberry,True,False,True,False,True,"Remonterende sort for lang sesong i drivhus og potter."
