plant_id,norsk_navn,engelsk_navn,latinsk_navn,kategori,familie_type,lufttemp_optimal_min_c,lufttemp_optimal_max_c,lufttemp_akseptabel_min_c,lufttemp_akseptabel_max_c,luftfukt_optimal_min_pct,luftfukt_optimal_max_pct,luftfukt_akseptabel_min_pct,luftfukt_akseptabel_max_pct,jordtemp_optimal_min_c,jordtemp_optimal_max_c,jordtemp_akseptabel_min_c,jordtemp_akseptabel_max_c,jordfukt_optimal_min_pct,jordfukt_optimal_max_pct,jordfukt_akseptabel_min_pct,jordfukt_akseptabel_max_pct,ph_optimal_min,ph_optimal_max,ph_akseptabel_min,ph_akseptabel_max,lys_optimal_min_lux,lys_optimal_max_lux,lys_akseptabel_min_lux,lys_akseptabel_max_lux,spiretemp_optimal_min_c,spiretemp_optimal_max_c,vanning_kort,klima_notat,kildegrunnlag,undervanning_tegn,overvanning_tegn,undervanning_tiltak,overvanning_tiltak,vanningsstrategi
tomato,tomat,tomato,Solanum lycopersicum,grønnsak,varmeelskende fruktgrønnsak,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
cucumber,agurk,cucumber,Cucumis sativus,grønnsak,varmeelskende fruktgrønnsak,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
pepper,paprika,sweet pepper,Capsicum annuum,grønnsak,varmeelskende fruktgrønnsak,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
chili,chili,chili pepper,Capsicum annuum,grønnsak,varmeelskende chili,21,26,18,32,60,75,50,85,18,22,15,26,60,80,50,90,5.8,6.8,5.5,7.5,25000,60000,15000,70000,20,28,"Jevnt fuktig jord, ikke la tørke helt ut.",Varm og lyselskende drivhusplante som ikke tåler kulde eller langvarig hete.,Basert på drivhustabeller for tomat/agurk/paprika og grønnsaksguider; praktisk intervall for varm fruktgrønnsak.,"Blader og blomster henger, veksten stopper opp, frukter blir små eller faller av.","Gule blader, myke stengler, råte ved rothals, jord lukter surt og er konstant våt.","Vann grundig til hele rotsonen er gjennomvåt, gjenta først når topplaget har tørket lett.","Stopp vanning, luft jorda, forbedre drenering og fjern vann som blir stående.","Jevn fukt, dyp vanning med pauser så jorda får tørke lett mellom hver gang."
basil,basilikum,basil,Ocimum basilicum,urt,varmeelskende urt,16,22,10,26,55,75,45,85,14,20,8,24,50,75,40,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,14,22,"Jevnt lett fuktig jord, ikke la potten tørke helt ut.","Urt som liker moderat varme, god lysmengde og jevnt fuktig jord.",Basert på urteguider for basilikum/persille/mynte; praktisk intervall.,"Blader henger og blir matte, stilker blir slappe, jord tørr.","Gulning og bladfall nedenfra, mørk rothals og mugglukt.","Vann når topplaget er tørt og planten mister spenst, gjennomvann potten.","La jorda tørke lett opp, forbedre drenering og klipp bort råtne deler.","Jevn fukt, men la øverste lag tørke lett mellom vanning."
parsley,persille,parsley,Petroselinum crispum,urt,bladurt,16,22,10,26,55,75,45,85,14,20,8,24,50,75,40,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,14,22,"Jevnt lett fuktig jord, ikke la potten tørke helt ut.","Urt som liker moderat varme, god lysmengde og jevnt fuktig jord.",Basert på urteguider for basilikum/persille/mynte; praktisk intervall.,"Blader henger og blir matte, stilker blir slappe, jord tørr.","Gulning og bladfall nedenfra, mørk rothals og mugglukt.","Vann når topplaget er tørt og planten mister spenst, gjennomvann potten.","La jorda tørke lett opp, forbedre drenering og klipp bort råtne deler.","Jevn fukt, men la øverste lag tørke lett mellom vanning."
coriander,koriander,coriander,Coriandrum sativum,urt,bladurt kortlivd,16,22,10,26,55,75,45,85,14,20,8,24,50,75,40,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,14,22,"Jevnt lett fuktig jord, ikke la potten tørke helt ut.","Urt som liker moderat varme, god lysmengde og jevnt fuktig jord.",Basert på urteguider for basilikum/persille/mynte; praktisk intervall.,"Blader henger og blir matte, stilker blir slappe, jord tørr.","Gulning og bladfall nedenfra, mørk rothals og mugglukt.","Vann når topplaget er tørt og planten mister spenst, gjennomvann potten.","La jorda tørke lett opp, forbedre drenering og klipp bort råtne deler.","Jevn fukt, men la øverste lag tørke lett mellom vanning."
dill,dill,dill,Anethum graveolens,urt,ettårig urt,16,22,10,26,55,75,45,85,14,20,8,24,50,75,40,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,14,22,"Jevnt lett fuktig jord, ikke la potten tørke helt ut.","Urt som liker moderat varme, god lysmengde og jevnt fuktig jord.",Basert på urteguider for basilikum/persille/mynte; praktisk intervall.,"Blader henger og blir matte, stilker blir slappe, jord tørr.","Gulning og bladfall nedenfra, mørk rothals og mugglukt.","Vann når topplaget er tørt og planten mister spenst, gjennomvann potten.","La jorda tørke lett opp, forbedre drenering og klipp bort råtne deler.","Jevn fukt, men la øverste lag tørke lett mellom vanning."
lettuce,salat,lettuce,Lactuca sativa,grønnsak,kjølig bladgrønt,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
spinach,spinat,spinach,Spinacia oleracea,grønnsak,kjølig bladgrønt,14,20,6,24,60,75,50,90,8,16,4,20,55,75,45,85,6.0,7.0,5.5,7.5,12000,30000,8000,35000,8,18,"Jevnt lett fuktig jord, ikke la den tørke helt ut.",Kjølig til middels varm bladgrønnsak som liker jevn fukt og stabilt klima.,Basert på salat/spinat/kål-tabeller for kjølige bladgrønnsaker; praktisk intervall.,"Bladene blir slappe og kantene tørre, planten vokser sakte.","Gulning ved basis, bladsopp og løs rot i våt jord.","Vann oftere med moderate mengder, hold jorda jevnt fuktig.","Reduser vanning, forbedre drenering og luft rundt plantene.","Jevn lett fukt, la topplaget tørke svakt mellom vanning."
